trait,model_name,learning_rate,batch_size,fold,pearson_r,r2,rmse,mae,best_epoch
ramularia_collo_cygni,mlp_a,0.0005,32,1,0.2469551417744842,-0.01586523558688402,1.1517644896887107,0.9012876335565034,61
ramularia_collo_cygni,mlp_a,0.0005,32,2,0.3095838702787236,-0.036469583452404475,1.1245019595963472,0.9040461300729631,88
ramularia_collo_cygni,mlp_a,0.0005,32,3,0.27258219348713825,-0.2361535454577115,1.2628573924858788,0.9851277400781443,144
ramularia_collo_cygni,mlp_a,0.0005,32,4,0.38094426553932614,-0.00778585710374835,1.1344291989256212,0.844296213742849,54
ramularia_collo_cygni,mlp_a,0.0005,32,5,0.44360376775488386,0.14137635087675793,1.000637574346046,0.7766242776368115,129
ramularia_collo_cygni,mlp_b,0.001,16,1,0.2058366500729775,-0.07907258870037004,1.1870553387956495,0.9083706591580365,92
ramularia_collo_cygni,mlp_b,0.001,16,2,0.3719326411161966,0.06940478670934769,1.06552180818703,0.8509750049393456,53
ramularia_collo_cygni,mlp_b,0.001,16,3,0.34888431588339275,0.10438529342414726,1.0749263515101344,0.84245498975118,14
ramularia_collo_cygni,mlp_b,0.001,16,4,0.3702886358719822,0.07880702734672906,1.0845974391967463,0.8273024806031236,141
ramularia_collo_cygni,mlp_b,0.001,16,5,0.43696607934373377,0.16703465276196638,0.9855731215200707,0.7636843466006957,166
ramularia_collo_cygni,mlp_b,0.001,32,1,0.22417701020628575,-0.005027285850077945,1.1456041065556635,0.9034681556461094,42
ramularia_collo_cygni,mlp_b,0.001,32,2,0.3419060023996109,0.03988597347553635,1.082289245509558,0.8593198495942194,86
ramularia_collo_cygni,mlp_b,0.001,32,3,0.3329317693783758,0.04232279158001806,1.1115466070967897,0.8551266837764431,17
ramularia_collo_cygni,mlp_b,0.001,32,4,0.2815480702980536,0.029264047111493663,1.1133810466885523,0.8383298113539412,18
ramularia_collo_cygni,mlp_b,0.001,32,5,0.4519987757398034,0.18616848641961448,0.9741876848051404,0.7580625771939218,89
ramularia_collo_cygni,mlp_b,0.0005,16,1,0.23114293547358986,-0.023519060287432447,1.1560952124046162,0.9042356212933859,94
ramularia_collo_cygni,mlp_b,0.0005,16,2,0.3450176525741987,0.06840017803057763,1.066096786278768,0.8499534897976093,115
ramularia_collo_cygni,mlp_b,0.0005,16,3,0.2943137682493365,-0.009799847182335286,1.1413944376053837,0.8860325985126667,23
ramularia_collo_cygni,mlp_b,0.0005,16,4,0.3842380138149799,0.1247822355824364,1.0571858181795133,0.7877972985173131,98
ramularia_collo_cygni,mlp_b,0.0005,16,5,0.4203961231818346,0.10782085260180829,1.0200029268157051,0.7863326929174028,171
ramularia_collo_cygni,mlp_b,0.0005,32,1,0.2047683504816066,-0.08688174961285888,1.1913429072470645,0.9236522241755649,79
ramularia_collo_cygni,mlp_b,0.0005,32,2,0.33674925490420493,0.0888505229234201,1.0543304533236835,0.8365340603364481,31
ramularia_collo_cygni,mlp_b,0.0005,32,3,0.32167213284584073,0.034741448014303455,1.1159376505775502,0.8776376166859189,22
ramularia_collo_cygni,mlp_b,0.0005,32,4,0.34196059505908305,0.01835954597809386,1.119617016279902,0.8316307379318787,133
ramularia_collo_cygni,mlp_b,0.0005,32,5,0.41061611744380866,0.061233309270830816,1.0462951676651961,0.8041105901335811,78
