trait,model,run_pca20,run_pca50,pearson_pca20,pearson_pca50,r2_pca20,r2_pca50,rmse_pca20,rmse_pca50,delta_pearson_50_minus_20,delta_r2_50_minus_20,delta_rmse_50_minus_20,winner_pearson,winner_r2,winner_rmse
ramularia_collo_cygni,adaboost,40_pca20_ensemble_-_estructura_unificada_+_nested_cv_5x3,40_pca50_ensemble_-_estructura_unificada_+_nested_cv_5x3,0.2927445291344502,0.2526946965684158,0.0851426974115151,0.0634538594840677,1.072218294413499,1.0848535705049005,-0.04004983256603439,-0.0216888379274474,0.01263527609140147,pca20,pca20,pca20
ramularia_collo_cygni,svr_rbf,10_pca20_svr_-_estructura_unificada_+_nested_cv_5x3,11_pca50_svr_-_estructura_unificada_+_nested_cv_5x3,0.3617207838327954,0.3073489450246894,0.1282924795408779,0.0874488299913687,1.0466269896979128,1.0708660410314106,-0.05437183880810598,-0.04084364954950921,0.024239051333497796,pca20,pca20,pca20
rhynchosporium,svr_linear,10_pca20_svr_-_estructura_unificada_+_nested_cv_5x3,11_pca50_svr_-_estructura_unificada_+_nested_cv_5x3,0.1709858783744133,0.1900899014273151,0.0235499826066417,0.0268116166226093,0.9044309524729393,0.9029191545133878,0.019104023052901792,0.0032616340159676016,-0.0015117979595514752,pca50,pca50,pca50
rhynchosporium,xgboost,45_pca20_blocks_-_estructura_unificada_+_nested_cv_5x3,45_pca50_blocks_-_estructura_unificada_+_nested_cv_5x3,0.1904822736756225,0.1992496764354264,-0.007507857052361,-0.0108240082039194,0.9187019304336602,0.9202126142824182,0.008767402759803894,-0.0033161511515584,0.0015106838487579655,pca50,pca20,pca20
rhynchosporium,random_forest,40_pca20_ensemble_-_estructura_unificada_+_nested_cv_5x3,40_pca50_ensemble_-_estructura_unificada_+_nested_cv_5x3,0.2103053618850929,0.2179625199301687,0.0189495017341544,0.0229612946329241,0.9065590327019848,0.9047035457399762,0.0076571580450758014,0.004011792898769698,-0.0018554869620085457,pca50,pca50,pca50
rhynchosporium,svr_rbf,10_pca20_svr_-_estructura_unificada_+_nested_cv_5x3,11_pca50_svr_-_estructura_unificada_+_nested_cv_5x3,0.1696786904291045,0.1689537073280974,0.0198083646115557,0.0134757341215927,0.9061621212360002,0.9090845861517154,-0.000724983101007104,-0.0063326304899629995,0.0029224649157152394,pca20,pca20,pca20
rhynchosporium,ridge,45_pca20_blocks_-_estructura_unificada_+_nested_cv_5x3,45_pca50_blocks_-_estructura_unificada_+_nested_cv_5x3,0.2138637946782554,0.2097558292071325,0.0452319464443266,0.0437488302620265,0.8943331886028384,0.895027538041326,-0.004107965471122882,-0.0014831161823000982,0.0006943494384875626,pca20,pca20,pca20
rhynchosporium,gradient_boosting,40_pca20_ensemble_-_estructura_unificada_+_nested_cv_5x3,40_pca50_ensemble_-_estructura_unificada_+_nested_cv_5x3,0.1864292452556941,0.1790982253175909,0.0325490620999631,0.0248738311422225,0.9002536339157288,0.9038176411544032,-0.0073310199381032,-0.007675230957740597,0.0035640072386744492,pca20,pca20,pca20
rhynchosporium,adaboost,40_pca20_ensemble_-_estructura_unificada_+_nested_cv_5x3,40_pca50_ensemble_-_estructura_unificada_+_nested_cv_5x3,0.1632561729558314,0.1545331153407845,-0.042321656758969,-0.0073701250688373,0.9344397160991548,0.9186391324301236,-0.00872305761504688,0.034951531690131696,-0.015800583669031143,pca20,pca50,pca50
rhynchosporium,decision_tree,20_pca20_tree_-_estructura_unificada_+_nested_cv_5x3,21_pca50_tree_-_estructura_unificada_+_nested_cv_5x3,0.0873659244973129,0.0710007469302048,-0.0352629963117721,-0.0157951125421782,0.9312703021604842,0.922472583624028,-0.01636517756710809,0.019467883769593897,-0.008797718536456278,pca20,pca50,pca50
rhynchosporium,elasticnet,45_pca20_blocks_-_estructura_unificada_+_nested_cv_5x3,45_pca50_blocks_-_estructura_unificada_+_nested_cv_5x3,0.2094290420045866,0.1870455136548749,0.042921960279973,0.0347154637286651,0.8954144193921717,0.8992451052588052,-0.02238352834971169,-0.008206496551307896,0.0038306858666334875,pca20,pca20,pca20
