representation,trait,model,n_individuos,n_features,cv_outer,cv_inner,pearson_r,pearson_p,rmse,mae,r2,fit_time_s,best_params_mode_outer,run_name,run_path,n_configs_model,fits_por_config,fits_ejecutados_config,cv,r2_norm,pearson_norm,rmse_norm_inv,score_composite,rank_trait
pca20,heading_date,gradient_boosting,1110,20,"KFold(5, shuffle=True, random_state=42)","KFold(3, shuffle=True, random_state=42)",0.7835002847563028,3.4197251028876164e-231,19.746282469791527,12.3623232946652,0.613851734432324,971.2491470999958,"{""model__learning_rate"": 0.01, ""model__max_depth"": 5, ""model__min_samples_leaf"": 2, ""model__n_estimators"": 500, ""model__subsample"": 0.7}",40_pca20_ensemble_-_estructura_unificada_+_nested_cv_5x3,outputs_nested5x3\40_pca20_ensemble_-_estructura_unificada_+_nested_cv_5x3,,,,,0.8479400039678051,0.8480549235504264,0.8328907825974798,0.8449761275267886,9.0
pca50,heading_date,xgboost,1110,50,"KFold(5, shuffle=True, random_state=42)","KFold(3, shuffle=True, random_state=42)",0.7786027302245537,1.8079063445989267e-226,19.94371530055511,13.014588939547185,0.6060913391167213,45.29094579999946,"{""model__colsample_bytree"": 0.3, ""model__learning_rate"": 0.05, ""model__max_depth"": 3, ""model__n_estimators"": 400, ""model__reg_lambda"": 5.0, ""model__subsample"": 0.7}",45_pca50_blocks_-_estructura_unificada_+_nested_cv_5x3,outputs_nested5x3\45_pca50_blocks_-_estructura_unificada_+_nested_cv_5x3,,,,,0.8079223329182177,0.8086939842169706,0.7899833756575186,0.804643201985579,10.0
pca50,heading_date,svr_rbf,1110,50,"KFold(5, shuffle=True, random_state=42)","KFold(3, shuffle=True, random_state=42)",0.7811289864146505,6.85686563555285e-229,20.04461923697692,11.639806753421423,0.6020953451512892,14.152745800005505,"{""model__C"": 10, ""model__epsilon"": 0.1, ""model__gamma"": 0.01}",11_pca50_svr_-_estructura_unificada_+_nested_cv_5x3,outputs_nested5x3\11_pca50_svr_-_estructura_unificada_+_nested_cv_5x3,,,,,0.7873163759377412,0.8289971408218756,0.7680542656652748,0.8001362598369017,11.0
pca20,heading_date,svr_rbf,1110,20,"KFold(5, shuffle=True, random_state=42)","KFold(3, shuffle=True, random_state=42)",0.7790985402831716,6.088988819260155e-227,20.206426866510853,11.35037255793163,0.5956453473675068,32.829372999985935,"{""model__C"": 100, ""model__epsilon"": 0.5, ""model__gamma"": ""auto""}",10_pca20_svr_-_estructura_unificada_+_nested_cv_5x3,outputs_nested5x3\10_pca20_svr_-_estructura_unificada_+_nested_cv_5x3,,,,,0.7540559711407051,0.8126787381409265,0.7328891627816689,0.7732717162689866,12.0
pca50,heading_date,elasticnet,1110,50,"KFold(5, shuffle=True, random_state=42)","KFold(3, shuffle=True, random_state=42)",0.7721664976234104,1.9197504914689578e-220,20.201835290904157,14.060453695356268,0.59582909227482,4.23126339999726,"{""model__alpha"": 0.1, ""model__l1_ratio"": 0.5}",45_pca50_blocks_-_estructura_unificada_+_nested_cv_5x3,outputs_nested5x3\45_pca50_blocks_-_estructura_unificada_+_nested_cv_5x3,,,,,0.7550034799928778,0.7569669111834139,0.7338870343225375,0.7515655633350242,13.0
pca50,heading_date,ridge,1110,50,"KFold(5, shuffle=True, random_state=42)","KFold(3, shuffle=True, random_state=42)",0.7723263044448394,1.3678244591941638e-220,20.248294402655,14.364245257408127,0.5939679729499927,3.888586499997473,"{""model__alpha"": 100.0}",45_pca50_blocks_-_estructura_unificada_+_nested_cv_5x3,outputs_nested5x3\45_pca50_blocks_-_estructura_unificada_+_nested_cv_5x3,,,,,0.7454063321806746,0.7582512555562152,0.7237902332674507,0.7462210817482461,14.0
pca50,heading_date,svr_linear,1110,50,"KFold(5, shuffle=True, random_state=42)","KFold(3, shuffle=True, random_state=42)",0.7710226742580029,2.1549397906807534e-219,20.588305802778983,12.85211795586788,0.5802172207800044,202.19961209999747,"{""model__C"": 0.1, ""model__epsilon"": 0.5}",11_pca50_svr_-_estructura_unificada_+_nested_cv_5x3,outputs_nested5x3\11_pca50_svr_-_estructura_unificada_+_nested_cv_5x3,,,,,0.6744984654233407,0.7477741677842065,0.6498967098198963,0.6988883952469982,15.0
pca20,heading_date,elasticnet,1110,20,"KFold(5, shuffle=True, random_state=42)","KFold(3, shuffle=True, random_state=42)",0.7530665278995361,1.1377648182439834e-203,20.92883980080067,15.343688718180704,0.56621582402494,2.623576400001184,"{""model__alpha"": 0.1, ""model__l1_ratio"": 0.5}",45_pca20_blocks_-_estructura_unificada_+_nested_cv_5x3,outputs_nested5x3\45_pca20_blocks_-_estructura_unificada_+_nested_cv_5x3,,,,,0.6022981113444179,0.6034632095505577,0.5758896119451506,0.5974824507470203,16.0
pca20,heading_date,ridge,1110,20,"KFold(5, shuffle=True, random_state=42)","KFold(3, shuffle=True, random_state=42)",0.751540274747138,2.137441309922895e-202,20.9826281678996,15.407312699649529,0.5639832563590161,1.3564345999984653,"{""model__alpha"": 100.0}",45_pca20_blocks_-_estructura_unificada_+_nested_cv_5x3,outputs_nested5x3\45_pca20_blocks_-_estructura_unificada_+_nested_cv_5x3,,,,,0.5907855330777853,0.5911969331161468,0.5641999687038329,0.5856329802183394,17.0
pca50,heading_date,adaboost,1110,50,"KFold(5, shuffle=True, random_state=42)","KFold(3, shuffle=True, random_state=42)",0.7531005854158828,1.0654202050062897e-203,21.27118803728596,16.17326258124253,0.5519083083485339,83.16700299998047,"{""model__estimator"": ""DecisionTreeRegressor(max_depth=3, random_state=42)"", ""model__learning_rate"": 0.05, ""model__loss"": ""linear"", ""model__n_estimators"": 100}",40_pca50_ensemble_-_estructura_unificada_+_nested_cv_5x3,outputs_nested5x3\40_pca50_ensemble_-_estructura_unificada_+_nested_cv_5x3,,,,,0.5285192080037484,0.6037369248968757,0.5014882317833972,0.5532000995169292,18.0
