run_name,trait,model,r2_mean,r2_std,rmse_mean,rmse_std
40_pca20_ensemble_-_estructura_unificada_+_nested_cv_5x3,rhynchosporium,random_forest,0.006745517332314761,0.0866374915162893,0.8979525520308933,0.13933096423069474
40_pca50_ensemble_-_estructura_unificada_+_nested_cv_5x3,blumeria_graminis,adaboost,0.508641510145474,0.03533767106809998,0.8142083525321236,0.040651114978328184
40_pca50_ensemble_-_estructura_unificada_+_nested_cv_5x3,blumeria_graminis,gradient_boosting,0.5214441887210359,0.02562918035891953,0.8039007174678738,0.040036248771492776
40_pca50_ensemble_-_estructura_unificada_+_nested_cv_5x3,blumeria_graminis,random_forest,0.5346318787547191,0.01913433013493448,0.7927305135496702,0.03409812133017844
40_pca50_ensemble_-_estructura_unificada_+_nested_cv_5x3,heading_date,adaboost,0.5481013007487844,0.03486871178019977,21.253772584238327,0.9621534798671536
40_pca50_ensemble_-_estructura_unificada_+_nested_cv_5x3,heading_date,gradient_boosting,0.6136468821660287,0.07862287069857132,19.58468934718755,2.168480407917469
40_pca50_ensemble_-_estructura_unificada_+_nested_cv_5x3,heading_date,random_forest,0.6110941469075856,0.07263896027253915,19.664567687542473,2.0322951524507245
40_pca50_ensemble_-_estructura_unificada_+_nested_cv_5x3,lodging,adaboost,0.7207666646172928,0.011367212069105579,0.8339988708515296,0.030236308176802246
40_pca50_ensemble_-_estructura_unificada_+_nested_cv_5x3,lodging,gradient_boosting,0.7573268625503056,0.02401173587886118,0.7757917713672813,0.012042159001701955
40_pca50_ensemble_-_estructura_unificada_+_nested_cv_5x3,lodging,random_forest,0.7594964962247522,0.02111112820291143,0.7728105913530992,0.018067127696236196
40_pca50_ensemble_-_estructura_unificada_+_nested_cv_5x3,plant_height,adaboost,0.5399126557204106,0.027461611748407513,9.652561016223094,0.23851237301607736
40_pca50_ensemble_-_estructura_unificada_+_nested_cv_5x3,plant_height,gradient_boosting,0.6250713128332714,0.014522797054514194,8.719868979932183,0.33514581104744323
40_pca50_ensemble_-_estructura_unificada_+_nested_cv_5x3,plant_height,random_forest,0.6271841053334964,0.019580634057772068,8.695332706257194,0.4038244455889936
