run_name,trait,model,r2_mean,r2_std,pearson_mean,pearson_std,rmse_mean,rmse_std,n_folds,r2_cv,pearson_cv,rmse_cv
40_pca50_ensemble_-_estructura_unificada_+_nested_cv_5x3,puccinia_hordei,gradient_boosting,0.5145560624141379,0.0466999249686508,0.7227772674411977,0.03046662326457442,0.8251366397411234,0.046528995119859425,5,0.09075770043316407,0.042152160336245026,0.0563894425224619
40_pca50_ensemble_-_estructura_unificada_+_nested_cv_5x3,puccinia_hordei,random_forest,0.5095409098721981,0.0528882164761868,0.7210345259108153,0.03373198231490367,0.8293000942870975,0.05375915620019373,5,0.10379581982819024,0.04678275603001566,0.06482473180761839
11_pca50_svr_-_estructura_unificada_+_nested_cv_5x3,puccinia_hordei,svr_rbf,0.49572743192112956,0.04692772606204476,0.7108409673582953,0.024175116877895322,0.8412397635568316,0.05040753067491642,5,0.09466437207273812,0.03400917784428988,0.05992052784308387
45_pca50_blocks_-_estructura_unificada_+_nested_cv_5x3,puccinia_hordei,xgboost,0.4935375663805816,0.04876174725841569,0.708790592383878,0.028907210387849262,0.842888672335043,0.04961788308870298,5,0.09880047757259079,0.04078385167419553,0.058866472782517325
10_pca20_svr_-_estructura_unificada_+_nested_cv_5x3,puccinia_hordei,svr_rbf,0.488188935156676,0.06022669898958399,0.707479689751729,0.03376045596269708,0.8466877547242037,0.051702842894546436,5,0.12336760350837377,0.04771932883973588,0.06106482892431566
40_pca20_ensemble_-_estructura_unificada_+_nested_cv_5x3,puccinia_hordei,random_forest,0.4872073533513771,0.059289165012089466,0.7053678319633755,0.03896698177556347,0.8478197086842576,0.05806097108526697,5,0.12169185174290614,0.05524349142361618,0.06848268622508498
40_pca20_ensemble_-_estructura_unificada_+_nested_cv_5x3,puccinia_hordei,gradient_boosting,0.47394284563925543,0.05114902580005277,0.6958417610376848,0.03359453946385676,0.8590830734510497,0.052598207503591836,5,0.10792235028057617,0.04827899293333355,0.06122598515682298
45_pca20_blocks_-_estructura_unificada_+_nested_cv_5x3,puccinia_hordei,xgboost,0.45854792628956276,0.06670533704532274,0.6861738167388222,0.03950198660548882,0.87094916561132,0.059944241142657374,5,0.14547080734849907,0.057568484313828654,0.0688263374138288
45_pca50_blocks_-_estructura_unificada_+_nested_cv_5x3,puccinia_hordei,elasticnet,0.4499238619763922,0.04841822784802971,0.6790396962764534,0.03499400477425442,0.8784738640647849,0.04696975609137248,5,0.10761426974631152,0.05153454940284893,0.05346744850670776
40_pca50_ensemble_-_estructura_unificada_+_nested_cv_5x3,puccinia_hordei,adaboost,0.44260349990070313,0.03724172657162792,0.6805276042890898,0.03382663061743614,0.8844874353812042,0.03690761153799127,5,0.08414241319823047,0.04970647833275328,0.04172768324525096
45_pca50_blocks_-_estructura_unificada_+_nested_cv_5x3,puccinia_hordei,ridge,0.4287213225809154,0.03767438485096664,0.6603276924881877,0.02303131176119734,0.8954904379618622,0.03752266464354484,5,0.0878761630612765,0.03487860954977189,0.0419018038081417
40_pca20_ensemble_-_estructura_unificada_+_nested_cv_5x3,puccinia_hordei,adaboost,0.42664257769476943,0.04345588305248248,0.6662551513973622,0.03818831550443403,0.8970422188373257,0.04385223516117776,5,0.10185547651451675,0.057317854014847354,0.048885363743543214
45_pca20_blocks_-_estructura_unificada_+_nested_cv_5x3,puccinia_hordei,elasticnet,0.4104868397293485,0.02845336535101267,0.6494771457757933,0.01733477709553263,0.909873662290887,0.033527333565337686,5,0.06931614511630431,0.026690357325547504,0.036848339450690666
45_pca20_blocks_-_estructura_unificada_+_nested_cv_5x3,puccinia_hordei,ridge,0.3962460197131899,0.02410391552940287,0.6360017250681627,0.01846295257379046,0.9206528096653586,0.022542167452379375,5,0.06083068177403958,0.02902972090494207,0.024484981977704566
20_pca20_tree_-_estructura_unificada_+_nested_cv_5x3,puccinia_hordei,decision_tree,0.38495803734794887,0.0678437072463258,0.6323790679916682,0.04509827008767488,0.9278815864102707,0.042805769952589896,5,0.1762366301369218,0.07131524803769922,0.046132793860253374
21_pca50_tree_-_estructura_unificada_+_nested_cv_5x3,puccinia_hordei,decision_tree,0.34472754979080344,0.06255810790369798,0.6074582673364327,0.03643094220538901,0.958530579645412,0.05064890295365164,5,0.1814711587213181,0.05997274901719663,0.05284015349034365
10_pca20_svr_-_estructura_unificada_+_nested_cv_5x3,puccinia_hordei,svr_linear,0.3145861795542263,0.1755723696835435,0.5962077968449648,0.09439428198266374,0.9747860916370261,0.11025711962604912,5,0.5581057945149797,0.15832446754668927,0.11310904061103977
11_pca50_svr_-_estructura_unificada_+_nested_cv_5x3,puccinia_hordei,svr_linear,0.22307503430675987,0.352893280232185,0.5845057632913598,0.13051548613523978,1.0256315825272728,0.20585688834350288,5,1.581948788347631,0.223292043179019,0.2007123141003986
10_pca20_svr_-_estructura_unificada_+_nested_cv_5x3,ramularia_collo_cygni,svr_rbf,0.12663378481405096,0.06214835519831336,0.3771975422325202,0.06846130452633681,1.045370779061671,0.057314808820557804,5,0.49077231079819655,0.18149986906366006,0.05482725361044031
45_pca20_blocks_-_estructura_unificada_+_nested_cv_5x3,ramularia_collo_cygni,elasticnet,0.12394017457575887,0.028434498639057438,0.36761485414275946,0.03515908716193738,1.0471105453071305,0.0382906481342757,5,0.22942116013945704,0.09564109492780101,0.03656791377556471
45_pca50_blocks_-_estructura_unificada_+_nested_cv_5x3,ramularia_collo_cygni,elasticnet,0.11845871376921244,0.04254055833798322,0.36622505232099783,0.05526703720995843,1.0503022996960716,0.044391363398435336,5,0.35911717242568575,0.15091003976843353,0.04226532057606745
40_pca20_ensemble_-_estructura_unificada_+_nested_cv_5x3,ramularia_collo_cygni,random_forest,0.11193108029997845,0.08509056877135628,0.36070158365609095,0.08379303658387474,1.0538893082074068,0.06995463415872934,5,0.7602050167237836,0.23230570748967594,0.0663775916635091
