representation,model,trait,pearson_r,r2,rmse,mae,source_file,source_notebook,notes
PCA50,gradient_boosting,rhynchosporium,0.1790982253175909,0.0248738311422225,0.9038176411544032,0.5689712909431035,C:/Users/Reyes/OneDrive/PC_REYES/Master_Big_Data_Data_Science/14MBID/2026/Code/repo/outputs_nested5x3/40_pca50_ensemble_-_estructura_unificada_+_nested_cv_5x3/summary_nested5x3.csv,nested5x3_unificados/40_pca50_ensemble_unificado_nested5x3.ipynb,
PCA50,gradient_boosting,heading_date,0.7855202632593901,0.6164204418961926,19.68049548790525,12.670321334226426,C:/Users/Reyes/OneDrive/PC_REYES/Master_Big_Data_Data_Science/14MBID/2026/Code/repo/outputs_nested5x3/40_pca50_ensemble_-_estructura_unificada_+_nested_cv_5x3/summary_nested5x3.csv,nested5x3_unificados/40_pca50_ensemble_unificado_nested5x3.ipynb,
PCA50,gradient_boosting,lodging,0.8716635087967395,0.7597407822326161,0.77586653710282,0.585178935498616,C:/Users/Reyes/OneDrive/PC_REYES/Master_Big_Data_Data_Science/14MBID/2026/Code/repo/outputs_nested5x3/40_pca50_ensemble_-_estructura_unificada_+_nested_cv_5x3/summary_nested5x3.csv,nested5x3_unificados/40_pca50_ensemble_unificado_nested5x3.ipynb,
PCA50,gradient_boosting,plant_height,0.7934226228195442,0.6293382227230466,8.725019954069657,6.55086078643241,C:/Users/Reyes/OneDrive/PC_REYES/Master_Big_Data_Data_Science/14MBID/2026/Code/repo/outputs_nested5x3/40_pca50_ensemble_-_estructura_unificada_+_nested_cv_5x3/summary_nested5x3.csv,nested5x3_unificados/40_pca50_ensemble_unificado_nested5x3.ipynb,
PCA50,adaboost,blumeria_graminis,0.7161027178381586,0.5096892973859932,0.81501978617225,0.6399046357108357,C:/Users/Reyes/OneDrive/PC_REYES/Master_Big_Data_Data_Science/14MBID/2026/Code/repo/outputs_nested5x3/40_pca50_ensemble_-_estructura_unificada_+_nested_cv_5x3/summary_nested5x3.csv,nested5x3_unificados/40_pca50_ensemble_unificado_nested5x3.ipynb,
PCA50,adaboost,puccinia_hordei,0.6728474636462509,0.4455192620806003,0.8851032486545122,0.6936002103689733,C:/Users/Reyes/OneDrive/PC_REYES/Master_Big_Data_Data_Science/14MBID/2026/Code/repo/outputs_nested5x3/40_pca50_ensemble_-_estructura_unificada_+_nested_cv_5x3/summary_nested5x3.csv,nested5x3_unificados/40_pca50_ensemble_unificado_nested5x3.ipynb,
PCA50,adaboost,ramularia_collo_cygni,0.2526946965684158,0.0634538594840677,1.0848535705049005,0.8471144856232845,C:/Users/Reyes/OneDrive/PC_REYES/Master_Big_Data_Data_Science/14MBID/2026/Code/repo/outputs_nested5x3/40_pca50_ensemble_-_estructura_unificada_+_nested_cv_5x3/summary_nested5x3.csv,nested5x3_unificados/40_pca50_ensemble_unificado_nested5x3.ipynb,
PCA50,adaboost,rhynchosporium,0.1545331153407845,-0.0073701250688373,0.9186391324301236,0.6412286803401654,C:/Users/Reyes/OneDrive/PC_REYES/Master_Big_Data_Data_Science/14MBID/2026/Code/repo/outputs_nested5x3/40_pca50_ensemble_-_estructura_unificada_+_nested_cv_5x3/summary_nested5x3.csv,nested5x3_unificados/40_pca50_ensemble_unificado_nested5x3.ipynb,
PCA50,adaboost,heading_date,0.7531005854158828,0.5519083083485339,21.27118803728596,16.17326258124253,C:/Users/Reyes/OneDrive/PC_REYES/Master_Big_Data_Data_Science/14MBID/2026/Code/repo/outputs_nested5x3/40_pca50_ensemble_-_estructura_unificada_+_nested_cv_5x3/summary_nested5x3.csv,nested5x3_unificados/40_pca50_ensemble_unificado_nested5x3.ipynb,
PCA50,adaboost,lodging,0.8544527446735943,0.7220969137118031,0.8344372379318628,0.6477193185741686,C:/Users/Reyes/OneDrive/PC_REYES/Master_Big_Data_Data_Science/14MBID/2026/Code/repo/outputs_nested5x3/40_pca50_ensemble_-_estructura_unificada_+_nested_cv_5x3/summary_nested5x3.csv,nested5x3_unificados/40_pca50_ensemble_unificado_nested5x3.ipynb,
PCA50,adaboost,plant_height,0.7472360089336232,0.5461188570548249,9.654918160894749,7.503867549501697,C:/Users/Reyes/OneDrive/PC_REYES/Master_Big_Data_Data_Science/14MBID/2026/Code/repo/outputs_nested5x3/40_pca50_ensemble_-_estructura_unificada_+_nested_cv_5x3/summary_nested5x3.csv,nested5x3_unificados/40_pca50_ensemble_unificado_nested5x3.ipynb,
PCA50,xgboost,blumeria_graminis,0.7126905788938733,0.5060162388325118,0.8180668640501375,0.635463374755271,C:/Users/Reyes/OneDrive/PC_REYES/Master_Big_Data_Data_Science/14MBID/2026/Code/repo/outputs_nested5x3/45_pca50_blocks_-_estructura_unificada_+_nested_cv_5x3/summary_nested5x3.csv,nested5x3_unificados/45_pca50_blocks_unificado_nested5x3.ipynb,
PCA50,xgboost,puccinia_hordei,0.7046676320863676,0.4957553275223563,0.8440561956460569,0.6463975432560173,C:/Users/Reyes/OneDrive/PC_REYES/Master_Big_Data_Data_Science/14MBID/2026/Code/repo/outputs_nested5x3/45_pca50_blocks_-_estructura_unificada_+_nested_cv_5x3/summary_nested5x3.csv,nested5x3_unificados/45_pca50_blocks_unificado_nested5x3.ipynb,
PCA50,xgboost,ramularia_collo_cygni,0.3010064785641717,0.0612457588193008,1.0861317005923898,0.8409996603437873,C:/Users/Reyes/OneDrive/PC_REYES/Master_Big_Data_Data_Science/14MBID/2026/Code/repo/outputs_nested5x3/45_pca50_blocks_-_estructura_unificada_+_nested_cv_5x3/summary_nested5x3.csv,nested5x3_unificados/45_pca50_blocks_unificado_nested5x3.ipynb,
PCA50,xgboost,rhynchosporium,0.1992496764354264,-0.0108240082039194,0.9202126142824182,0.5590763926635217,C:/Users/Reyes/OneDrive/PC_REYES/Master_Big_Data_Data_Science/14MBID/2026/Code/repo/outputs_nested5x3/45_pca50_blocks_-_estructura_unificada_+_nested_cv_5x3/summary_nested5x3.csv,nested5x3_unificados/45_pca50_blocks_unificado_nested5x3.ipynb,
PCA50,xgboost,heading_date,0.7786027302245537,0.6060913391167213,19.94371530055511,13.014588939547185,C:/Users/Reyes/OneDrive/PC_REYES/Master_Big_Data_Data_Science/14MBID/2026/Code/repo/outputs_nested5x3/45_pca50_blocks_-_estructura_unificada_+_nested_cv_5x3/summary_nested5x3.csv,nested5x3_unificados/45_pca50_blocks_unificado_nested5x3.ipynb,
PCA50,xgboost,lodging,0.8681550432597918,0.7536391976924317,0.785656660737437,0.5925105995986044,C:/Users/Reyes/OneDrive/PC_REYES/Master_Big_Data_Data_Science/14MBID/2026/Code/repo/outputs_nested5x3/45_pca50_blocks_-_estructura_unificada_+_nested_cv_5x3/summary_nested5x3.csv,nested5x3_unificados/45_pca50_blocks_unificado_nested5x3.ipynb,
PCA50,xgboost,plant_height,0.7889857225807233,0.6223978918136025,8.80632546531322,6.534034863108495,C:/Users/Reyes/OneDrive/PC_REYES/Master_Big_Data_Data_Science/14MBID/2026/Code/repo/outputs_nested5x3/45_pca50_blocks_-_estructura_unificada_+_nested_cv_5x3/summary_nested5x3.csv,nested5x3_unificados/45_pca50_blocks_unificado_nested5x3.ipynb,
